"filename", "language", "HTML", "C++", "JSON", "Swift", "XML", "JavaScript", "YAML", "Dart", "Markdown", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\Api_services\usuarios\register_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 3, 28
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\AdminChatScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 744, 0, 0, 0, 46, 61, 851
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\AdminHomeScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 331, 0, 0, 0, 12, 26, 369
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\AdminOrdersScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 12, 18, 233
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\OrderHistoryScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\PopularDishesScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 778, 0, 0, 0, 54, 69, 901
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\ReportsScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 620, 0, 0, 0, 15, 51, 686
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\Users\AdminUsersScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1435, 0, 0, 0, 88, 95, 1618
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\Users\add_user_modal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 531, 0, 0, 0, 23, 36, 590
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\Users\filter_chip.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 6, 65
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\add_dish_modal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 361, 0, 0, 0, 10, 24, 395
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Admin_Screens\menu_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 500, 0, 0, 0, 13, 41, 554
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Auth_Screens\auth_modals.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 826, 0, 0, 0, 37, 58, 921
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Auth_Screens\forget_password(WIP).dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Barista_Screens\BaristaActiveOrdersScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 356, 0, 0, 0, 18, 28, 402
"c:\dev\Proyecto\tesis\Lb_flutter_app\le_brunch_app\lib\UI_Screens\Barista_Screens\BaristaHomeScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 0, 12, 31, 344
